time,cam_time,left_eye,right_eye,g_angle,g_omega,g_direction,gratings,g_radius,g_thickness,g_width,left_eye_delta,right_eye_delta,abs_delta_left,abs_delta_right,left_eye_delta_sac_t1.90,right_eye_delta_sac_t1.30,l_sac_bool,r_sac_bool,l_agreement,r_agreement,time_bin,time_bin_s
0.0,3363.659393310547,-26.26128196716309,26.189926147460938,-359.94657158851624,30,0,5,240,240,0.2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,0,0
0.0512,3363.740103244781,-26.507869720458984,25.7489013671875,0.0,30,0,5,240,240,0.2,-0.24658775329589488,-0.4410247802734375,0.24658775329589488,0.4410247802734375,0.0,0.0,False,False,False,False,0,0
0.1523,3363.8199846744537,-26.97549057006836,26.400634765625,0.0,0,0,5,240,240,0.2,-0.467620849609375,0.6517333984375,0.467620849609375,0.6517333984375,0.0,0.0,False,False,False,False,0,0
0.2052,3363.899934530258,-26.22830009460449,26.031906127929688,0.0,0,0,5,240,240,0.2,0.7471904754638707,-0.3687286376953125,0.7471904754638707,0.3687286376953125,0.0,0.0,False,False,False,False,0,0
0.3062,3363.9798419475555,-26.49591445922852,25.95556640625,0.0,0,0,5,240,240,0.2,-0.26761436462403054,-0.0763397216796875,0.26761436462403054,0.0763397216796875,0.0,0.0,False,False,False,False,0,0
0.3563,3364.0600299835205,-26.52416229248047,26.034744262695312,0.0,0,0,5,240,240,0.2,-0.028247833251949572,0.0791778564453125,0.028247833251949572,0.0791778564453125,0.0,0.0,False,False,False,False,0,0
0.4567,3364.139692783356,-26.805931091308597,25.91461181640625,0.0,0,0,5,240,240,0.2,-0.28176879882812855,-0.1201324462890625,0.28176879882812855,0.1201324462890625,0.0,0.0,False,False,False,False,0,0
0.5072,3364.2204411029816,-26.502931594848636,26.189926147460938,0.0,0,0,5,240,240,0.2,0.30299949645996094,0.2753143310546875,0.30299949645996094,0.2753143310546875,0.0,0.0,False,False,False,False,0,0
0.6077,3364.300568342209,-26.992387771606445,26.17416381835937,0.0,0,0,5,240,240,0.2,-0.48945617675780895,-0.015762329101566053,0.48945617675780895,0.015762329101566053,0.0,0.0,False,False,False,False,0,0
0.7086,3364.379812002182,-26.41203498840332,25.974334716796875,0.0,0,0,5,240,240,0.2,0.580352783203125,-0.19982910156249645,0.580352783203125,0.19982910156249645,0.0,0.0,False,False,False,False,0,0
0.7587,3364.4600763320923,-26.37043190002441,25.94320678710937,0.0,0,0,5,240,240,0.2,0.0416030883789098,-0.031127929687503553,0.0416030883789098,0.031127929687503553,0.0,0.0,False,False,False,False,0,0
0.8595,3364.5408086776733,-26.631946563720703,25.942779541015625,0.0,0,0,5,240,240,0.2,-0.2615146636962926,-0.0004272460937464473,0.2615146636962926,0.0004272460937464473,0.0,0.0,False,False,False,False,0,0
0.91,3364.620729446411,-26.500844955444336,26.104263305664062,0.0,0,0,5,240,240,0.2,0.1311016082763672,0.1614837646484375,0.1311016082763672,0.1614837646484375,0.0,0.0,False,False,False,False,0,0
1.0102,3364.700537919998,-26.37043190002441,25.878738403320312,0.0,0,0,5,240,240,0.2,0.13041305541992543,-0.22552490234375,0.13041305541992543,0.22552490234375,0.0,0.0,False,False,False,False,0,0
1.1108,3364.780412912369,-26.31920051574707,26.342041015625,0.0,0,0,5,240,240,0.2,0.0512313842773402,0.4633026123046875,0.0512313842773402,0.4633026123046875,0.0,0.0,False,False,False,False,0,0
