time,cam_time,left_eye,right_eye,g_angle,g_omega,g_direction,gratings,g_radius,g_thickness,g_width,left_eye_delta,right_eye_delta,abs_delta_left,abs_delta_right,left_eye_delta_sac_t1.40,right_eye_delta_sac_t2.10,l_sac_bool,r_sac_bool,l_agreement,r_agreement,time_bin,time_bin_s
0.0,989.7678484916688,-20.857051849365234,15.573776245117188,-4.513406753540039,30,0,5,240,240,0.2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,0,0
0.0508,989.8476314544678,-20.69109535217285,16.007766723632812,0.0,30,0,0,240,240,0.2,0.1659564971923828,0.433990478515625,0.1659564971923828,0.433990478515625,0.0,0.0,False,False,False,False,0,0
0.1036,989.9273087978364,-20.48466682434082,15.138458251953123,0.0,30,0,0,240,240,0.2,0.20642852783203125,-0.8693084716796893,0.20642852783203125,0.8693084716796893,0.0,0.0,False,False,False,False,0,0
0.2048,990.0074083805084,-20.271448135375977,15.379440307617188,0.0,30,0,0,240,240,0.2,0.21321868896484375,0.24098205566406428,0.21321868896484375,0.24098205566406428,0.0,0.0,False,False,False,False,0,0
0.2553,990.0880000591278,-20.732637405395508,15.8677978515625,0.0,30,0,0,240,240,0.2,-0.46118927001953125,0.4883575439453125,0.46118927001953125,0.4883575439453125,0.0,0.0,False,False,False,False,0,0
0.3557,990.1676607131958,-20.47167587280273,15.502960205078123,0.0,30,0,0,240,240,0.2,0.260961532592777,-0.3648376464843768,0.260961532592777,0.3648376464843768,0.0,0.0,False,False,False,False,0,0
0.4563,990.2476217746736,-20.52741050720215,15.187545776367188,0.0,30,0,0,240,240,0.2,-0.055734634399417615,-0.3154144287109357,0.055734634399417615,0.3154144287109357,0.0,0.0,False,False,False,False,0,0
0.5064,990.3282792568208,-20.64086532592773,15.286514282226562,0.0,30,0,0,240,240,0.2,-0.11345481872558238,0.098968505859375,0.11345481872558238,0.098968505859375,0.0,0.0,False,False,False,False,0,0
0.6074,990.4076066017152,-20.402212142944336,15.517318725585938,0.0,30,0,0,240,240,0.2,0.23865318298339488,0.230804443359375,0.23865318298339488,0.230804443359375,0.0,0.0,False,False,False,False,0,0
0.6575,990.4884948730468,-20.90147399902344,15.409194946289062,0.0,30,0,0,240,240,0.2,-0.4992618560791051,-0.108123779296875,0.4992618560791051,0.108123779296875,0.0,0.0,False,False,False,False,0,0
0.7581,990.56737947464,-20.671873092651367,15.394882202148438,0.0,30,0,0,240,240,0.2,0.22960090637207387,-0.014312744140625,0.22960090637207387,0.014312744140625,0.0,0.0,False,False,False,False,0,0
0.8587,990.6489231586456,-20.658069610595703,15.294784545898438,0.0,30,0,0,240,240,0.2,0.013803482055664062,-0.10009765625,0.013803482055664062,0.10009765625,0.0,0.0,False,False,False,False,0,0
0.9091,990.728226184845,-20.79520034790039,15.506942749023438,0.0,30,0,0,240,240,0.2,-0.1371307373046875,0.212158203125,0.1371307373046875,0.212158203125,0.0,0.0,False,False,False,False,0,0
1.0093,990.8078849315644,-20.67919921875,15.45159912109375,0.0,30,0,0,240,240,0.2,0.11600112915039062,-0.0553436279296875,0.11600112915039062,0.0553436279296875,0.0,0.0,False,False,False,False,0,0
1.0598,990.8884410858154,-20.64118766784668,15.28448486328125,0.0,30,0,0,240,240,0.2,0.03801155090332031,-0.1671142578125,0.03801155090332031,0.1671142578125,0.0,0.0,False,False,False,False,0,0
1.1607,990.968900680542,-20.992015838623047,15.094207763671877,0.0,30,0,0,240,240,0.2,-0.3508281707763672,-0.19027709960937322,0.3508281707763672,0.19027709960937322,0.0,0.0,False,False,False,False,0,0
1.2612,991.047733783722,-20.94200134277344,15.48114013671875,0.0,30,0,0,240,240,0.2,0.05001449584960582,0.3869323730468732,0.05001449584960582,0.3869323730468732,0.0,0.0,False,False,False,False,0,0
