time,cam_time,left_eye,right_eye,g_angle,g_omega,g_direction,gratings,g_radius,g_thickness,g_width,left_eye_delta,right_eye_delta,abs_delta_left,abs_delta_right,left_eye_delta_sac_t1.30,right_eye_delta_sac_t2.30,l_sac_bool,r_sac_bool,l_agreement,r_agreement,time_bin,time_bin_s
0.0,1115.4424402713776,-18.26415061950684,16.445648193359375,-4.476356506347656,30,0,5,240,240,0.2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,0,0
0.0511,1115.522286653519,-18.26695251464844,16.368118286132812,0.0,30,0,5,240,240,0.2,-0.0028018951416015625,-0.0775299072265625,0.0028018951416015625,0.0775299072265625,0.0,0.0,False,False,False,False,0,0
0.1542,1115.602457523346,-18.03313636779785,16.840545654296875,0.0,30,0,5,240,0,0.2,0.2338161468505895,0.4724273681640625,0.2338161468505895,0.4724273681640625,0.0,0.0,False,False,False,False,0,0
0.205,1115.6826622486117,-18.213354110717773,16.519378662109375,0.0,30,0,5,240,0,0.2,-0.18021774291992188,-0.3211669921875,0.18021774291992188,0.3211669921875,0.0,0.0,False,False,False,False,0,0
0.3063,1115.7621793746948,-18.040918350219727,16.472610473632812,0.0,30,0,5,240,0,0.2,0.17243576049804688,-0.0467681884765625,0.17243576049804688,0.0467681884765625,0.0,0.0,False,False,False,False,0,0
0.4068,1115.8425772190094,-18.330039978027344,16.373458862304688,0.0,30,0,5,240,0,0.2,-0.2891216278076172,-0.099151611328125,0.2891216278076172,0.099151611328125,0.0,0.0,False,False,False,False,0,0
0.4569,1115.922414302826,-18.28741836547852,16.545150756835938,0.0,30,0,5,240,0,0.2,0.04262161254882457,0.17169189453125,0.04262161254882457,0.17169189453125,0.0,0.0,False,False,False,False,0,0
0.5577,1116.0026199817655,-18.241504669189453,16.517120361328125,0.0,30,0,5,240,0,0.2,0.04591369628906605,-0.0280303955078125,0.04591369628906605,0.0280303955078125,0.0,0.0,False,False,False,False,0,0
0.6083,1116.082134723663,-18.327381134033203,16.470413208007812,0.0,30,0,5,240,0,0.2,-0.08587646484375,-0.0467071533203125,0.08587646484375,0.0467071533203125,0.0,0.0,False,False,False,False,0,0
0.7089,1116.1636271476746,-18.263751983642575,16.40838623046875,0.0,30,0,5,240,0,0.2,0.06362915039062855,-0.0620269775390625,0.06362915039062855,0.0620269775390625,0.0,0.0,False,False,False,False,0,0
0.759,1116.242353439331,-18.205049514770508,16.595626831054688,0.0,30,0,5,240,0,0.2,0.05870246887206676,0.1872406005859375,0.05870246887206676,0.1872406005859375,0.0,0.0,False,False,False,False,0,0
0.8596,1116.3233966827393,-18.393747329711918,16.468276977539062,0.0,30,0,5,240,0,0.2,-0.1886978149414098,-0.127349853515625,0.1886978149414098,0.127349853515625,0.0,0.0,False,False,False,False,0,0
0.9602,1116.402257680893,-18.421640396118164,16.639556884765625,0.0,30,0,5,240,0,0.2,-0.027893066406246447,0.1712799072265625,0.027893066406246447,0.1712799072265625,0.0,0.0,False,False,False,False,0,0
1.0103,1116.4826250076294,-18.31111717224121,16.535903930664062,0.0,30,0,5,240,0,0.2,0.11052322387695312,-0.1036529541015625,0.11052322387695312,0.1036529541015625,0.0,0.0,False,False,False,False,0,0
1.1106,1116.5627036094666,-18.372079849243164,16.370147705078125,0.0,30,0,5,240,0,0.2,-0.060962677001953125,-0.1657562255859375,0.060962677001953125,0.1657562255859375,0.0,0.0,False,False,False,False,0,0
1.161,1116.6438069343567,-18.36644172668457,16.399185180664062,0.0,30,0,5,240,0,0.2,0.00563812255859375,0.0290374755859375,0.00563812255859375,0.0290374755859375,0.0,0.0,False,False,False,False,0,0
1.2618,1116.7237105369568,-18.22919273376465,16.390975952148438,0.0,30,0,5,240,0,0.2,0.13724899291992188,-0.008209228515625,0.13724899291992188,0.008209228515625,0.0,0.0,False,False,False,False,0,0
1.3623,1116.8030424118042,-18.287273406982425,16.438323974609375,0.0,30,0,5,240,0,0.2,-0.05808067321777699,0.0473480224609375,0.05808067321777699,0.0473480224609375,0.0,0.0,False,False,False,False,0,0
1.4126,1116.8828885555267,-18.28741836547852,16.3740234375,0.0,30,0,5,240,0,0.2,-0.00014495849609375,-0.064300537109375,0.00014495849609375,0.064300537109375,0.0,0.0,False,False,False,False,0,0
1.5131,1116.963886499405,-18.37572860717773,16.264907836914062,0.0,30,0,5,240,0,0.2,-0.08831024169921164,-0.1091156005859375,0.08831024169921164,0.1091156005859375,0.0,0.0,False,False,False,False,0,0
1.5636,1117.0430808067322,-18.132009506225582,16.128036499023438,0.0,30,0,5,240,0,0.2,0.24371910095214844,-0.136871337890625,0.24371910095214844,0.136871337890625,0.0,0.0,False,False,False,False,0,0
1.6643,1117.123456478119,-18.40531349182129,16.272689819335938,0.0,30,0,5,240,0,0.2,-0.2733039855957067,0.1446533203125,0.2733039855957067,0.1446533203125,0.0,0.0,False,False,False,False,0,0
1.7144,1117.2027502059937,-18.424644470214844,16.391845703125,0.0,30,0,5,240,0,0.2,-0.019330978393554688,0.1191558837890625,0.019330978393554688,0.1191558837890625,0.0,0.0,False,False,False,False,0,0
1.8151,1117.2834465503693,-18.28741836547852,16.288116455078125,0.0,30,0,5,240,0,0.2,0.13722610473632457,-0.103729248046875,0.13722610473632457,0.103729248046875,0.0,0.0,False,False,False,False,0,0
1.9157,1117.363552093506,-18.33017921447754,16.180862426757812,0.0,30,0,5,240,0,0.2,-0.042760848999019885,-0.1072540283203125,0.042760848999019885,0.1072540283203125,0.0,0.0,False,False,False,False,0,0
1.966,1117.443657875061,-18.548830032348636,16.279403686523438,0.0,30,0,5,240,0,0.2,-0.2186508178710973,0.098541259765625,0.2186508178710973,0.098541259765625,0.0,0.0,False,False,False,False,0,0
2.0665,1117.523453950882,-18.41613006591797,16.581497192382812,0.0,30,0,5,240,0,0.2,0.13269996643066762,0.302093505859375,0.13269996643066762,0.302093505859375,0.0,0.0,False,False,False,False,0,0
2.117,1117.603397846222,-18.46156311035156,16.540512084960938,0.0,30,0,5,240,0,0.2,-0.0454330444335902,-0.040985107421875,0.0454330444335902,0.040985107421875,0.0,0.0,False,False,False,False,0,0
2.2178,1117.6839263439178,-18.603084564208984,16.135757446289062,0.0,30,0,5,240,0,0.2,-0.14152145385742543,-0.404754638671875,0.14152145385742543,0.404754638671875,0.0,0.0,False,False,False,False,0,0
2.3185,1117.7636823654177,-18.50200843811035,16.3597412109375,0.0,30,0,5,240,0,0.2,0.10107612609863281,0.2239837646484375,0.10107612609863281,0.2239837646484375,0.0,0.0,False,False,False,False,0,0
2.369,1117.8438618183136,-18.380807876586918,16.460540771484375,0.0,30,0,5,240,0,0.2,0.12120056152343395,0.100799560546875,0.12120056152343395,0.100799560546875,0.0,0.0,False,False,False,False,0,0
2.4696,1117.9237163066864,-18.40531349182129,16.426986694335938,0.0,30,0,5,240,0,0.2,-0.024505615234371447,-0.0335540771484375,0.024505615234371447,0.0335540771484375,0.0,0.0,False,False,False,False,0,0
2.5201,1118.0034515857697,-18.5014762878418,16.379440307617188,0.0,30,0,5,240,0,0.2,-0.09616279602051137,-0.04754638671875,0.09616279602051137,0.04754638671875,0.0,0.0,False,False,False,False,0,0
2.6209,1118.0836849212646,-18.413515090942383,16.183303833007812,0.0,30,0,5,240,0,0.2,0.08796119689941762,-0.196136474609375,0.08796119689941762,0.196136474609375,0.0,0.0,False,False,False,False,0,0
2.6712,1118.163535118103,-18.4884090423584,16.218521118164062,0.0,30,0,5,240,0,0.2,-0.07489395141601562,0.03521728515625,0.07489395141601562,0.03521728515625,0.0,0.0,False,False,False,False,0,0
2.7719,1118.2438855171204,-18.46388435363769,16.316940307617188,0.0,30,0,5,240,0,0.2,0.024524688720706678,0.098419189453125,0.024524688720706678,0.098419189453125,0.0,0.0,False,False,False,False,0,0
2.8727,1118.323843002319,-18.476806640625,16.43792724609375,0.0,30,0,5,240,0,0.2,-0.01292228698730824,0.1209869384765625,0.01292228698730824,0.1209869384765625,0.0,0.0,False,False,False,False,0,0
