fish_id,test_name,bin,bin_s,l_saccs,r_saccs,l_saccs_s,r_saccs_s,l_abs,r_abs,l_abs_s,r_abs_s,l_abs_norm,r_abs_norm,l_abs_s_norm,r_abs_s_norm,l_agr,r_agr,l_agr_s,r_agr_s
3,sd,50,50,4,1,7,5,56.25910187,60.97543335,104.9465771,136.3184967,0.906017407,0.749321668,0.94261132,0.990677917,0.68,0.512,0.664,0.576
3,sd,60,50,3,4,7,5,48.6874752,75.34306335,104.9465771,136.3184967,0.784081128,0.925884194,0.94261132,0.990677917,0.648,0.64,0.664,0.576
3,sd,70,70,5,3,9,7,62.09494591,56.22705078,111.3360033,137.6012268,1,0.690969218,1,1,0.701612903,0.572580645,0.678714859,0.630522088
3,sd,80,70,4,4,9,7,49.2410574,81.37417603,111.3360033,137.6012268,0.79299622,1,1,1,0.656,0.688,0.678714859,0.630522088
3,sd,90,90,3,0,7,4,55.62556839,54.46162415,105.0271463,130.789444,0.895814749,0.669274047,0.943334979,0.950496206,0.64,0.52,0.628,0.564
3,sd,100,90,4,4,7,4,49.40157795,76.32781982,105.0271463,130.789444,0.795581303,0.937985778,0.943334979,0.950496206,0.616,0.608,0.628,0.564
3,wd,0,0,0,0,0,0,51.73890495,55.39558411,51.73890495,55.39558411,0.69323781,0.845589126,0.405998123,0.473108231,0.003984064,0.003984064,0.003984064,0.003984064
3,wd,10,10,5,6,8,9,68.17771244,61.81082153,118.9373178,113.0498505,0.913497649,0.943514892,0.933307883,0.965506829,0.650793651,0.603174603,0.636,0.592
3,wd,20,10,3,3,8,9,50.75960541,51.23902893,118.9373178,113.0498505,0.680116398,0.782141147,0.933307883,0.965506829,0.620967742,0.580645161,0.636,0.592
3,wd,30,30,5,3,8,6,74.63370323,51.26695251,127.4363155,107.9764252,1,0.782567388,1,0.922177035,0.696,0.616,0.684,0.64
3,wd,40,30,3,3,8,6,52.8026123,56.70947266,127.4363155,107.9764252,0.707490182,0.865645054,1,0.922177035,0.672,0.664,0.684,0.64
