time,cam_time,left_eye,right_eye,g_angle,g_omega,g_direction,gratings,g_radius,g_thickness,g_width,left_eye_delta,right_eye_delta,abs_delta_left,abs_delta_right,left_eye_delta_sac_t3.10,right_eye_delta_sac_t3.00,l_sac_bool,r_sac_bool,l_agreement,r_agreement,time_bin,time_bin_s
0.0,8.707325458526611,-3.4697959423065186,19.738601684570312,0.0,60.0,1,5,240,240,0.2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0
0.0507,8.786942481994629,-3.3857955932617188,20.222488403320312,3.1489133834838867,60.0,1,5,240,240,0.2,0.0840003490447998,0.48388671875,0.0840003490447998,0.48388671875,0.0,0.0,False,False,True,True,0,0
0.1519,8.86732816696167,-3.435766696929932,20.86456298828125,3.1489133834838867,0.0,0,5,240,240,0.2,-0.049971103668213335,0.6420745849609375,0.049971103668213335,0.6420745849609375,0.0,0.0,False,False,False,False,0,0
0.2051,8.946754217147827,-3.7572309970855713,20.2823486328125,3.1489133834838867,0.0,0,5,240,240,0.2,-0.3214643001556392,-0.58221435546875,0.3214643001556392,0.58221435546875,0.0,0.0,False,False,False,False,0,0
0.3062,9.027618169784546,-3.854276657104492,20.18003845214844,3.1489133834838867,0.0,0,5,240,240,0.2,-0.0970456600189209,-0.10231018066405895,0.0970456600189209,0.10231018066405895,0.0,0.0,False,False,False,False,0,0
0.3565,9.10690188407898,-3.71937108039856,20.253662109375,3.1489133834838867,0.0,0,5,240,240,0.2,0.13490557670593217,0.07362365722655895,0.13490557670593217,0.07362365722655895,0.0,0.0,False,False,False,False,0,0
0.4573,9.187058210372925,-3.651468276977539,20.16621398925781,3.1489133834838867,0.0,0,5,240,240,0.2,0.06790280342102095,-0.08744812011719105,0.06790280342102095,0.08744812011719105,0.0,0.0,False,False,False,False,0,0
0.558,9.26665496826172,-3.106959581375122,20.05938720703125,3.1489133834838867,0.0,0,5,240,240,0.2,0.544508695602417,-0.10682678222655895,0.544508695602417,0.10682678222655895,0.0,0.0,False,False,False,False,0,0
0.6082,9.346636056900024,-2.697582244873047,19.9232177734375,3.1489133834838867,0.0,0,5,240,240,0.2,0.4093773365020752,-0.13616943359375,0.4093773365020752,0.13616943359375,0.0,0.0,False,False,False,False,0,0
0.709,9.426528215408323,-2.8321924209594727,19.75703430175781,3.1489133834838867,0.0,0,5,240,240,0.2,-0.13461017608642578,-0.16618347167969105,0.13461017608642578,0.16618347167969105,0.0,0.0,False,False,False,False,0,0
0.7591,9.507047176361084,-3.9153084754943848,19.77230834960937,3.1489133834838867,0.0,0,5,240,240,0.2,-1.083116054534912,0.0152740478515625,1.083116054534912,0.0152740478515625,0.0,0.0,False,False,False,False,0,0
0.8597,9.587021827697754,-3.263890504837036,19.843017578125,3.1489133834838867,0.0,0,5,240,240,0.2,0.6514179706573486,0.07070922851562855,0.6514179706573486,0.07070922851562855,0.0,0.0,False,False,False,False,0,0
