time,cam_time,left_eye,right_eye,g_angle,g_omega,g_direction,gratings,g_radius,g_thickness,g_width,left_eye_delta,right_eye_delta,abs_delta_left,abs_delta_right,left_eye_delta_sac_t2.20,right_eye_delta_sac_t2.60,l_sac_bool,r_sac_bool,l_agreement,r_agreement,time_bin,time_bin_s
0.0,23.43356347084045,-0.5026196837425232,19.4654541015625,0.0,30.0,1,5,240,240,0.2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0
0.0509,23.51337695121765,-0.5834587812423706,19.55963134765625,1.8110418319702148,30.0,1,5,240,240,0.2,-0.08083909749984741,0.09417724609375,0.08083909749984741,0.09417724609375,0.0,0.0,False,False,False,True,0,0
0.1537,23.59321093559265,-0.1412142813205719,19.6146240234375,1.8110418319702148,30.0,0,0,240,240,0.2,0.4422444999217987,0.05499267578125,0.4422444999217987,0.05499267578125,0.0,0.0,False,False,False,False,0,0
0.2043,23.67275714874268,-0.4370118975639343,19.669174194335938,1.8110418319702148,30.0,0,0,240,240,0.2,-0.2957976162433624,0.0545501708984375,0.2957976162433624,0.0545501708984375,0.0,0.0,False,False,False,False,0,0
0.3054,23.75268507003784,-0.8206844925880432,19.750534057617188,1.8110418319702148,30.0,0,0,240,240,0.2,-0.3836725950241089,0.08135986328125,0.3836725950241089,0.08135986328125,0.0,0.0,False,False,False,False,0,0
0.4061,23.83338928222656,-0.7797211408615112,19.535446166992188,1.8110418319702148,30.0,0,0,240,240,0.2,0.04096335172653198,-0.215087890625,0.04096335172653198,0.215087890625,0.0,0.0,False,False,False,False,0,0
0.4566,23.91303253173828,-0.1136288791894912,19.666915893554688,1.8110418319702148,30.0,0,0,240,240,0.2,0.6660922616720201,0.1314697265625,0.6660922616720201,0.1314697265625,0.0,0.0,False,False,False,False,0,0
0.5571,23.993280172348022,-0.1864625811576843,19.573226928710938,1.8110418319702148,30.0,0,0,240,240,0.2,-0.0728337019681931,-0.09368896484375,0.0728337019681931,0.09368896484375,0.0,0.0,False,False,False,False,0,0
0.6072,24.07329726219177,-0.0863854438066482,19.62689208984375,1.8110418319702148,30.0,0,0,240,240,0.2,0.1000771373510361,0.0536651611328125,0.1000771373510361,0.0536651611328125,0.0,0.0,False,False,False,False,0,0
0.7079,24.154181241989136,-0.7770280838012695,19.69491577148437,1.8110418319702148,30.0,0,0,240,240,0.2,-0.6906426399946213,0.06802368164062145,0.6906426399946213,0.06802368164062145,0.0,0.0,False,False,False,False,0,0
0.8087,24.233323335647583,-0.1144348680973053,19.508071899414062,1.8110418319702148,30.0,0,0,240,240,0.2,0.6625932157039642,-0.18684387207030895,0.6625932157039642,0.18684387207030895,0.0,0.0,False,False,False,False,0,0
