time,cam_time,left_eye,right_eye,g_angle,g_omega,g_direction,gratings,g_radius,g_thickness,g_width,left_eye_delta,right_eye_delta,abs_delta_left,abs_delta_right,left_eye_delta_sac_t0.90,right_eye_delta_sac_t1.70,l_sac_bool,r_sac_bool,l_agreement,r_agreement,time_bin,time_bin_s
0.001,723.6891939640045,-22.074371337890625,16.218505859375,4.286770820617676,30.0,0,5,240,240,0.2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,0,0
0.052,723.7705090045929,-22.060382843017575,16.477340698242188,0.0,0.0,0,5,240,240,0.2,0.013988494873050428,0.2588348388671875,0.013988494873050428,0.2588348388671875,0.0,0.0,False,False,False,False,0,0
0.1025,723.8494634628296,-22.406330108642575,16.221481323242188,0.0,0.0,0,5,240,240,0.2,-0.345947265625,-0.255859375,0.345947265625,0.255859375,0.0,0.0,False,False,False,False,0,0
0.2053,723.9295537471771,-22.539894104003903,16.281936645507812,0.0,0.0,0,5,240,240,0.2,-0.13356399536132812,0.060455322265625,0.13356399536132812,0.060455322265625,0.0,0.0,False,False,False,False,0,0
0.2563,724.008781671524,-22.444887161254883,16.040679931640625,0.0,0.0,0,5,240,240,0.2,0.09500694274901988,-0.2412567138671875,0.09500694274901988,0.2412567138671875,0.0,0.0,False,False,False,False,0,0
0.3571,724.0891580581665,-22.333620071411133,16.181442260742188,0.0,0.0,0,5,240,240,0.2,0.11126708984375,0.1407623291015625,0.11126708984375,0.1407623291015625,0.0,0.0,False,False,False,False,0,0
0.4575,724.1691823005676,-22.26221466064453,16.413436889648438,0.0,0.0,0,5,240,240,0.2,0.07140541076660156,0.23199462890625,0.07140541076660156,0.23199462890625,0.0,0.0,False,False,False,False,0,0
0.5076,724.2491767406464,-22.26786994934082,16.184906005859375,0.0,0.0,0,5,240,240,0.2,-0.0056552886962890625,-0.2285308837890625,0.0056552886962890625,0.2285308837890625,0.0,0.0,False,False,False,False,0,0
0.6083,724.3290555477142,-22.238473892211918,16.278091430664062,0.0,0.0,0,5,240,240,0.2,0.029396057128902697,0.0931854248046875,0.029396057128902697,0.0931854248046875,0.0,0.0,False,False,False,False,0,0
0.6585,724.4093482494354,-22.48135757446289,16.285736083984375,0.0,0.0,0,5,240,240,0.2,-0.242883682250973,0.0076446533203125,0.242883682250973,0.0076446533203125,0.0,0.0,False,False,False,False,0,0
0.7593,724.4895024299622,-22.500791549682617,16.190811157226562,0.0,0.0,0,5,240,240,0.2,-0.019433975219726562,-0.0949249267578125,0.019433975219726562,0.0949249267578125,0.0,0.0,False,False,False,False,0,0
0.8099,724.569876909256,-22.33429718017578,16.078277587890625,0.0,0.0,0,5,240,240,0.2,0.16649436950683594,-0.1125335693359375,0.16649436950683594,0.1125335693359375,0.0,0.0,False,False,False,False,0,0
0.9102,724.64950299263,-22.522216796875,16.272628784179688,0.0,0.0,0,5,240,240,0.2,-0.18791961669921875,0.1943511962890625,0.18791961669921875,0.1943511962890625,0.0,0.0,False,False,False,False,0,0
1.0109,724.7294874191284,-22.457778930664062,16.292495727539062,0.0,0.0,0,5,240,240,0.2,0.0644378662109375,0.019866943359375,0.0644378662109375,0.019866943359375,0.0,0.0,False,False,False,False,0,0
1.0614,724.8099145889282,-22.570486068725582,16.172195434570312,0.0,0.0,0,5,240,240,0.2,-0.11270713806151988,-0.12030029296875,0.11270713806151988,0.12030029296875,0.0,0.0,False,False,False,False,0,0
1.162,724.8896293640137,-22.179147720336918,16.268997192382812,0.0,0.0,0,5,240,240,0.2,0.39133834838866477,0.0968017578125,0.39133834838866477,0.0968017578125,0.0,0.0,False,False,False,False,0,0
1.2126,724.9695439338684,-22.69272994995117,16.42218017578125,0.0,0.0,0,5,240,240,0.2,-0.5135822296142507,0.1531829833984375,0.5135822296142507,0.1531829833984375,0.0,0.0,False,False,False,False,0,0
